"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
It follows the story of a cockroach named Rube and his brother Reg .	cockroach	The insect is parasitic , and lives by taking blood meals from its host , a species of bat .	insect	1
"The community reportedly once had a bedbug problem so severe , the also infested church was known locally as "" Bedbug Church "" ."	bedbug	This insect can be found across North America , from northern Canada to southern Mexico .	insect	1
Another conservation effort is habitat management to encourage the red-necked phalarope .	phalarope	Scientists have recorded 104 species of fish in the Kronotsky area alone , and species inventory has only begun .	fish	0
Then the Mission was taken over by the Carmelite Missionaries and remained under the Vicariate of Verapoly till the restoration of the old cochin diocese in 1886 .	cochin	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	0
Fish species include three-spined stickleback , Atlantic salmon , stone loach , brook lamprey and European river lamprey .	loach	Fish can limit the impacts of pathogens and parasites with behavioural or biochemical means , and such fish have reproductive advantages .	fish	1
In the late 1980s , ergonomic design began to be incorporated in new forklift designs to improve operator comfort , reduce injuries and increase productivity .	forklift	The building continued to function as a cider house into the middle of the twentieth century .	building	0
The female guppy has drops of two to 200 fry at a time , typically ranging between 30 and 60 .	guppy	They feed on planktonic crustaceans and small fish picked from the surface , typically while hovering .	fish	1
The cobia makes seasonal migrations .	cobia	Usually this is at some cost to the fish .	fish	1
Formula 2 Stockcar Manx Open F2 TT The stockcar racing is a contact motorsport where the more experienced drivers start at the rear of each race .	stockcar	Muelya , Winter , Zimmer and the driver of the vehicle were seriously injured while the two occupants of the other vehicle died in the crash .	vehicle	1
osprey , white stork , crane and heron all breed in the nature reserve .	osprey	One of the escorts ran into the path of two fish ; the other two missed .	fish	0
The master bedroom and nursery are over the carport , aiding privacy .	carport	In July 2013 , Houzz introduced the Real Cost Finder , an interactive tool that helps users plan home renovations and total costs .	tool	0
A feature is a boat tour with the motorboat Silvretta , Europe 's only regular motorboat transport over 2,000 m above sea level .	motorboat	Here he spent some seven months for the alleged crime of stealing and joy riding in a friend 's father 's motor vehicle .	vehicle	1
"He carries an enchanted maul hammer , "" The Great Mallet of Silvanus "" , and mauls are his clergy 's favored weapon ."	maul	The player can equip one hand with a weapon , and the other with a passive tool , such as a lamp for dark areas .	tool	1
The long-nosed loach reaches in length , males typically being smaller and slenderer than females .	loach	"The name Percichthyidae derives from the Latin "" perca "" for perch and Ancient Greek ἰχθύς , "" ichthys "" for fish ."	fish	1
"In Maryland , an eastern towhee was found in the stomach contents of a red fox ( "" Vulpes vulpes "" ) ."	towhee	Some commercially important fish diseases are VHS , ich and whirling disease .	fish	0
Newer Happi House restaurants range between 2,000 and are designed to look and feel like a modern Asian bistro .	bistro	Agent-based modeling is an experimental tool for theoretical research .	tool	0
In 1994 , Gretchen Apgar and husband Mike opened a cybercafe in Seattle 's Belltown neighborhood with Mike 's brother Tyler .	cybercafe	It is considered the largest wooden building in Europe and second largest in the world .	building	1
The design phase for the new twinjet was different from Boeing 's previous commercial jetliners .	twinjet	Another shot shows Khan standing outside a building which is seen to be under construction .	building	0
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	This sum enabled the association to set up a winery and the building is still used today by the Hohenpolding volunteer fire service as a clubhouse .	building	1
She was used by the Union Navy as a tugboat and general transport in support of the Union Navy blockade of Confederate waterways .	tugboat	In the early 1980s , it had both a vehicle assembly plant and an engine plant in Struandale , together with an older assembly plant in Neave .	vehicle	1
""" Milbrook "" anchored close to the lugger and came under fire from some field guns on shore ."	lugger	Muelya , Winter , Zimmer and the driver of the vehicle were seriously injured while the two occupants of the other vehicle died in the crash .	vehicle	1
The rathskeller contains 29 painted mottoes in German and was home to a full service restaurant when it opened in 1905 .	rathskeller	"In Nîmes , the festival occurs in the recent cultural building "" Paloma "" ."	building	1
The bigeye thresher is highly susceptible to over-exploitation due to its low lifetime fecundity .	bigeye	It is predatory , feeding on tadpoles , small fish and aquatic insects , and adults are about long .	fish	1
Albania has an embassy in Ankara and a general consulate in Istanbul .	consulate	The day 's events begin as the visiting dignitary arrives in a special vehicle at the Palacio Real in the Spanish capital of Madrid .	vehicle	0
The masjid noor and the descendant union in offa were vandalised .	masjid	Tangas were a common mode of public transport well into the 1950s , and bicycles were a private vehicle choice in the 1930s .	vehicle	0
It provides a wintering ground for a wide variety of wildfowl including pochard , tufted duck , scaup and goldeneye .	scaup	After the insect cadaver has fallen to the ground , the resting spores overwinter in the soil .	insect	0
They are used to target diver ducks such as bluebills ( greater scaup ) , canvasback , goldeneye , scoters and eider to name a few .	eider	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
"The steamer "" Brulin "" took the barge in tow and won salvage fees in Exchequer Court of Canada ."	barge	Electro Energy Inc. , working with CalCars , converted a Toyota Prius from a hybrid electric vehicle to a PHEV using its own bipolar NiMH batteries .	vehicle	1
"This also allows them to use a single positioner to move the antenna in the form of a "" jackscrew "" or horizon-to-horizon gear drive ."	jackscrew	In a laboratory setting , the use of recombinant proteins to artificially introduce phosphomimetics is a common tool for studying phosphorylation and protein activation .	tool	1
She is seen to be immature , sulky and klutzy , often breaking objects , and she keeps a diary .	sulky	Samuel Johnson The original building was designed by architect , William T. Proudfoot .	building	0
Erora quaderna Erora quaderna , the Arizona hairstreak , is a species of hairstreak in the family of butterflies known as Lycaenidae .	hairstreak	The technique has been expanded to include the use of RNA interference RNAi that fatally silences crucial insect genes .	insect	1
The taxonomic history of the Réunion ibis is convoluted and complex , due to the ambiguous and meagre evidence that was available to scientists until recently .	ibis	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	0
Isoperla orata Isoperla orata , the colorless stripetail , is a species of green-winged stonefly in the family Perlodidae .	stonefly	represents a dark redbrown or grey - brown insect with the lines and markings well shown .	insect	1
"The crest above the shield was a black "" moorcock "" representing Sale Moor ."	moorcock	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
April 2014 saw HMAS Darwin an Adelaide-class frigate intercept 1,032 kg of heroin on a dhow off the east coast of Africa .	dhow	"With such revolutionary concept , innovative design and superior performance , EOTPR will become an essential tool for microelectronic package fault isolation and failure analysis . "" """	tool	0
The Walleye surfperch can be distinguished from other surfperch by the distinctive black tips on the ventral fins and black borders on the tail and anal fins .	surfperch	The family was placed in a different order of fish , the Ophidiiformes ( cusk-eels and brotulas ) .	fish	1
The resistance was helped greatly by the leadership of the Chancela family who were dedicated to defending the ziggurat and recovering the artifact .	ziggurat	Hinged leading edge surfaces can help counteract this , but an even more effective tool is the canard .	tool	0
Subsequently , Turkey shot down a Syrian Mi-17 helicopter in September 2013 and a MiG-23 warplane in March 2014 .	warplane	Their Ariel vehicle was all-metal and had wire-spoked wheels , much lighter than wooden-spoke ones .	vehicle	1
The species overwinters , in chrysalis , in sand or leaf litter .	chrysalis	Gasterophilus intestinalis Gasterophilus intestinalis , also known as horse bot fly , is a species of insect of the family Oestridae , and is found worldwide .	insect	1
Neoclinus okazakii Neoclinus okazakii is a species of chaenopsid blenny found in rocky reefs around Japan , in the northwestern Pacific ocean .	blenny	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
The brigantine Willow Brae was driven up the Middle River and 300 tons of coal had to be unloaded before she could be salvaged .	brigantine	The van lost control and collided head on with a semi-truck , after which the vehicle burst into flames .	vehicle	1
An adult bird needs to eat an estimated 40 of these per day — sand eels , herring , sprats , and capelin being the most often consumed .	capelin	For example , some tapeworms make some fish behave in such a way that a predatory bird can catch it .	bird	0
In smaller numbers are mallards , shelducks , grey herons , cormorants , greylag geese , Canada geese , swans and the occasional family of goosanders .	greylag	In most aquarium tanks , the fish are at high concentrations and the volume of water is limited .	fish	0
The wine is more commonly called baya or bayah in Igorot languages .	baya	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
Smerinthus caecus Smerinthus caecus , the northern eyed hawkmoth , is a moth of the family Sphingidae .	hawkmoth	List of birds of Ireland This is a list of the bird species recorded in Ireland .	bird	0
"Cliff Padgett Clifford E. "" Cliff "" Padgett ( December 19 , 1879August 7 , 1951 ) was an American motorboat builder who built racing boats ."	motorboat	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	0
The fossil record is unique because coelacanth fossils were found 100 years before the first live specimen was identified .	coelacanth	This total includes 12 amphibians , 5 fish , 15 reptiles , 157 birds , and 80 mammals .	fish	1
They will not usually take live-foods , but it has been found they will often accept housefly pupae , which they crack like seeds .	housefly	Diyllus ( insect ) Diyllus is a small genus of katydids found in South America .	insect	1
The adult female usually contains mature eggs as she emerges from her pupa , and often mates immediately if a male is available .	pupa	Organophosphates interfere with the enzymes acetylcholinesterase and other cholinesterases , disrupting nerve impulses and killing or disabling the insect .	insect	1
The Nonsuch 26 is a small recreational keelboat , built predominantly of fiberglass , with wood trim .	keelboat	The first Block IIF space vehicle was launched in May 2010 on a Delta IV rocket .	vehicle	1
A large aviary named Flight Connection hosts dozens of species of birds from Australia , Africa , and Asia .	aviary	Vexor Vexor is a distributed cloud web-service for building and testing software , a continuous integration tool .	tool	0
The western meadowlark has distinctive calls described as watery or flute-like , which distinguish it from the closely related eastern meadowlark .	meadowlark	( murtur ) It is possible to kayak to the Isla de Sacrificios to observe seagulls , pelicans and the fish that inhabit the coral reef .	fish	0
Currently , tugboat companies and number of smaller dry docks operate along the shore .	tugboat	Nothing from the old building was moved to the new structure .	building	0
The gardens , amongst other things , possessed a peach house , an orangery , a vinery , a melon house and a mushroom house .	orangery	The hybrid version started at million ( around ) , the lowest price for a gasoline-hybrid electric vehicle sold in Japan .	vehicle	0
On December 18 , 1904 several players set out by dogsled and the rest left the next day by bicycle for a 330-mile trek to Whitehorse .	dogsled	Driving a motor vehicle while intoxicated on alcohol is a misdemeanor which carries a penalty of up to one year in the county jail .	vehicle	1
He practiced law in the Vice-Admiralty Court and also was a clerk-solicitor in the Boston customhouse .	customhouse	Heavy goods vehicle ( HGV ) shuttles also have two halves , with each half containing one loading wagon , one unloading wagon and 14 carrier wagons .	vehicle	0
They found shelter at the chateau of Koeur la Petite .	chateau	The prime contractor was Rockwell International , which built a SVN 12 qualification vehicle after an amendment to the Block I contract .	vehicle	0
The bumblebee feeds on several flowering plants , most commonly those in Asteraceae , Fabaceae , Saxifragaceae , and Lamiaceae .	bumblebee	With a dinosaur visible in the background and an insect in front , it stays still for a few seconds before setting off and eating the insect .	insect	1
English naturalist William John Burchell described the kori bustard in 1822 .	bustard	Prevention includes feeding with cooked fish ( not raw fish ) .	fish	0
The tang of the parang is usually of rat tail tang design , and full tang designs are also available .	parang	As part of the campaign , the vehicle also appeared in Gossip Girl , 90210 , America 's Next Top Model , Smallville and Everybody Hates Chris .	vehicle	0
Some forms of botfly also occur in the digestive tract after ingestion by licking .	botfly	This insect can be found across North America , from northern Canada to southern Mexico .	insect	1
The middle presbytery was extended and vaulted with net and stellar vault .	presbytery	"In 1956 the van was given a new incarnation as the second "" Carey "" , a shower vehicle ."	vehicle	0
The wintering wildfowl include wigeon ( est. 4000 ) , teal ( est. 1500 ) and mallard ( est. 1000 ) in large numbers .	wildfowl	The capture , transportation and culture of bait fish can spread damaging organisms between ecosystems , endangering them .	fish	0
Mangrove dragonet Callionymus enneactis , the mangrove dragonet or common dragonet , is a species of dragonet native to the western Pacific Ocean at depths down to .	dragonet	Instead , these otters target soft-bodied prey like fish , or urchins which can be ripped apart with the forelimbs .	fish	1
"Mountain firetail The mountain firetail ( "" Oreostruthus fuliginosus "" ) is a common species of estrildid finch found in New Guinea ."	finch	Fish can limit the impacts of pathogens and parasites with behavioural or biochemical means , and such fish have reproductive advantages .	fish	0
The chough last bred on the island in 1900 .	chough	As the insect grows , the hemolymph works something like a hydraulic system , enabling the insect to expand segments before they are sclerotized .	insect	0
The construction of the boneshaker was similar to the dandy horse : wooden wheels with iron tires and a framework of wrought iron .	boneshaker	The prime contractor was Rockwell International , which built a SVN 12 qualification vehicle after an amendment to the Block I contract .	vehicle	1
The remains of a chachalaca were noted in one nest .	chachalaca	This insect , originating in Mexico and Central American , was used to make the brilliant scarlet dyes of the European Renaissance .	insect	0
The Borough of Windsor possessed a guildhall from early times .	guildhall	A larger timber station building than adjacent stations , and toilet were provided on the platform .	building	1
"The B-7W "" Hydroglider "" was a gyrocopter designed to be towed from a motorboat at 10-20 mph ."	motorboat	It is the same building that later housed the Michelin starred restaurant De Vlindertuin .	building	0
Following Phuntsok ’s self-immolation , hundreds of monks from the same monastery , Kirti monastery in Ngaba County , and other local residents staged another protest .	monastery	All grades are in the same building .	building	1
Some of the migratory species include the Mongolian plover , eastern curlew , grey-tailed tattler and bar-tailed godwit .	godwit	Imago ( disambiguation ) An imago ( plural : imagines or imagoes ) is the last ( or adult ) stage of development of an insect .	insect	0
They were taken to a beautiful lamasery filled with a variety of fruits and flowers .	lamasery	Flora and her husband lived on the second floor of the Oban Times building , allowing Flora to be involved in every aspect of the paper 's production .	building	1
Oemopteryx contorta Oemopteryx contorta , the dark willowfly , is a species of winter stonefly in the family Taeniopterygidae .	stonefly	Moreover , the new species was identified based upon the female insect 's genitalia instead of based upon the male of the species .	insect	1
"Red lory The red lory ( "" Eos bornea "" ) is a species of parrot in the family Psittaculidae ."	lory	Museum curator Marjorie Courtenay-Latimer discovered the fish among the catch of a local angler , Captain Hendrick Goosen , on December 23 , 1938 .	fish	0
The gyrfalcon is a member of the hierofalcon complex .	gyrfalcon	"She wrote : "" It is getting impossible to live like an insect in solitary confinement ."	insect	0
According to Herodotus , at the top of each ziggurat was a shrine , although none of these shrines have survived .	ziggurat	There were 33 starters in the event , with the field divided into four classes according to the retail price of each vehicle .	vehicle	0
On the banks of the river , the golden swan spends some time singing and dancing , eating lotus fruits and then rests on a lotus leaf .	swan	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	1
Billy flees , and is rescued by Ray , who tells him to find safety as he returns to Mendoza 's alcazar to rescue Molly .	alcazar	STAAD Building Planner is a module that enables seamless generation of building models that can be analyzed and designed thereafter in the program itself .	building	1
Pakistan forces had abandoned eleven Canadair F-86 Sabre jets , two T-33 Shooting Stars , one Alouette III and one Hiller UH-12E4 helicopter in Dhaka .	helicopter	Northern National Bank Northern National Bank was a historic bank building located in the Hartranft neighborhood of Philadelphia , Pennsylvania .	building	0
The modern rotary snowplow that kept the line open in the winter was moved to other areas leading to long closures in the winter .	snowplow	It was written as a deliberate attempt by Williamson to try something in a different style and was written as a vehicle for guitarist Karin Schaupp .	vehicle	1
The false scad reaches sexual maturity during its second year of life at a length of around 20 cm in both sexes .	scad	Order : SteatornithiformesFamily : Steatornithidae The oilbird is a slim , long-winged bird related to the nightjars .	bird	0
While Kinman was on his way to deliver one of the presidential chairs , he met Methodist bishop and writer Oscar Penn Fitzgerald on a California steamboat .	steamboat	Green Dragon can be launched from a small vehicle through a sealed 1.7-meter-long canister with 12-16 units .	vehicle	1
When a pumpkinseed feels threatened by a predator , it flares its gills to make it seem larger in size , and shows off the flashy red coloration .	pumpkinseed	In 2010 , more than 28 tonnes of fish was caught for use by personnel on the base .	fish	1
Other common names include blue herring , golden shad , river shad , Tennessee tarpon , and McKinley shad .	tarpon	"Malaysian and Singaporean Chinese use the "" seven-coloured raw fish "" ( ) instead of the "" seven vegetable soup "" ."	fish	1
While all Orthodox groups forbid the consumption of sturgeon , some conservative groups do allow it .	sturgeon	A shrike 's beak is hooked , like that of a typical bird of prey .	bird	0
Also on the property is a contributing 1 1/2 - story smokehouse .	smokehouse	Because tire noise is generated through the conversion of kinetic energy to sound waves , more noise is produced as the speed of a vehicle increases .	vehicle	0
602nd Aircraft Design Institute 602nd Aircraft Design Institute is a Chinese design institute and jointer partners with Xian Aircraft Industry Corporation of military aircraft .	jointer	Discovery Offices , which will be the 5th tallest building in Mumbai and the tallest building outside South Mumbai , is located on LBS Marg .	building	0
Several studies found increased eastern towhee abundance on early successional sites compared to later-successional sites .	towhee	The redlisted species found in the area include 2 species of vascular plants , 8 mosses , 13 fungi , 2 insects , and 1 species of bird .	bird	1
The oak titmouse has a browner back than the juniper titmouse .	titmouse	He used classic themes of decoration : flowers , landscapes , seascapes and fish .	fish	0
An arch with vegetation designs separates the presbytery from the ship .	presbytery	Scap said his company fabricates parts for Boeing and for several helicopter companies and owns five vehicle dealerships in Connecticut .	vehicle	0
August Musarurwa , was an ex-policeman , and said that the tune was one played in an illegal shebeen when a police raid was imminent .	shebeen	A timber station building and toilet were provided on the platform .	building	1
"And "" motic "" ( hoe ) may be a cognate of Old Church Slavonic "" motyka "" and English "" mattock "" ."	mattock	Before BamBoo , during the 1970s , the building housed a laundromat and later a Wicker World shop .	building	0
Dreadnought ( disambiguation ) The dreadnought was the predominant type of battleship in the early 20th century .	dreadnought	GSA contributes to the management of U.S. Federal property , including a 215,000 vehicle motor pool .	vehicle	1
Over the years , the term ' chalet ' changed to be applied generally to holiday homes , whether built in a strictly Alpine style or not .	chalet	Discovery Offices , which will be the 5th tallest building in Mumbai and the tallest building outside South Mumbai , is located on LBS Marg .	building	1
It is a monotypic genus containing the single species Nemanthias carberryi , the threadfin anthias , which is native to the western Indian Ocean .	threadfin	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	1
"For example , - "" anak nyamuk "" ( little mosquito ) ."	mosquito	List of birds of Belarus This is a list of the bird species recorded in Belarus .	bird	0
"Zoo Atlanta 's "" Outback Station "" houses Australian wildlife , including red kangaroos , Major Mitchell 's cockatoos , kookaburra and a double-watted cassowary ."	cassowary	However disease in fish is not understood well .	fish	0
"Strong winds drove "" Hermes "" off station when near Beachy Head he discovered a large French lugger in the midst of a number of English vessels ."	lugger	The player can equip one hand with a weapon , and the other with a passive tool , such as a lamp for dark areas .	tool	0
In high school , he rented out the family houseboat .	houseboat	The M3 is self-deployable by road , operating as a 4x4 wheeled vehicle with a maximum road speed of 80 km/h .	vehicle	1
A coffee shop called Reel Coffee sells snacks and drinks in the cybercafe .	cybercafe	The platform side of the building has a complex structure with a central projection covered by a gable , wall panels and cornices .	building	1
Such a system would work well when a locomotive is between the two surveillance system 's stations .	locomotive	After its acquisition by Avid , DS was always positioned as a high end video finishing tool .	tool	0
After locating a cicada , the wasp stings the cicada , injecting paralyzing venom .	cicada	It is suggested that the two classes of insect nitrophorins have arisen as a product of the convergent evolution .	insect	1
There are 47 aircraft based at this airport : 83 % single-engine , 8 % multi-engine , 8 % jet , and 3 % helicopter .	helicopter	The hybrid version started at million ( around ) , the lowest price for a gasoline-hybrid electric vehicle sold in Japan .	vehicle	1
The juvenile purple-throated cotinga resembles a paler , buffier female ; the plumage of the immature is undescribed .	cotinga	His collection of Siberian bird specimens had then grown to some 4500 .	bird	1
Four Embarcadero Center Four Embarcadero Center is a class-A office skyscraper in the Financial District of San Francisco , California .	skyscraper	The support buildings on the platform support the main building .	building	1
"The razorbelly scad is broadly distributed over the tropical Eastern Indo-West Pacific region , not as widely distributed as most of the genus "" Alepes "" ."	scad	The standard for fish for human consumption is less than 1 mg/kg , but many tested samples were more than five times that amount .	fish	1
Advancements have also been made in the bandsaw blades used to cut metals .	bandsaw	"In 1956 the van was given a new incarnation as the second "" Carey "" , a shower vehicle ."	vehicle	0
In 2016 , Mercedes-Benz introduced the Metris , a renamed Vito , the Metris is the first rear-wheel drive minivan since the Chevrolet Astro .	minivan	The church first met in a converted office building located in the Pinnacle Hills Corporate Park area .	building	0
In the late February 2008 Yanukovych confirmed that he indeed possesses a dacha in the Mezhyhirya residency awarded by a presidential decree .	dacha	The Gyeongbu Line was originally constructed as a vehicle of colonialism .	vehicle	0
The priory was subordinate to the Priory of the Holy Trinity in Norwich .	priory	Samuel Johnson The original building was designed by architect , William T. Proudfoot .	building	1
The beggar explained that he had raised a raven for three years with affection and great care , but it attacked him one day , leaving him blind .	raven	The consumption of imported meat , particularly mutton flaps , has replaced the islanders ' traditional diet of fish , root vegetables and coconuts .	fish	0
During a fight with a deranged murder suspect , Ed scratches the killer , thereby saving Kinsey from death by scalpel .	scalpel	The party served as a vehicle for Philip to run for re-election as Governor of Wisconsin and for Robert to run for re-election to the United States Senate .	vehicle	0
Corvette A corvette is a small warship .	corvette	Heavy goods vehicle ( HGV ) shuttles also have two halves , with each half containing one loading wagon , one unloading wagon and 14 carrier wagons .	vehicle	1
Chasmatonotus maculipennis Chasmatonotus maculipennis is a species of midge in the family Chironomidae .	midge	List of birds of Slovakia This is a list of the bird species recorded in Slovakia .	bird	0
An Assistant Ranger 's dwelling was added in 1957 , a small woodshed was constructed in 1979 , and a pole shed was added in 1985 .	woodshed	Russian soldiers suppress him , as he emerges from his command vehicle .	vehicle	0
A friend offered him a job at his cybercafe , and he was forced to move in with his parents .	cybercafe	A system of valves or baffles , or both , is usually incorporated to simultaneously operate a small radiator inside the vehicle .	vehicle	0
"Another observer put it more briefly : "" Guillermo O’Donnell was the argentine Max Weber . """	argentine	List of birds of San Marino This is a list of the bird species recorded in San Marino .	bird	0
Juan II of Castile established his chancellery in Astudillo .	chancellery	Post-Independence in 1948 , vehicle production was shifted to a new green field plant spread over a large area in Uttarpara , West Bengal .	vehicle	0
He was saluted by the guards as he drove through the gates in a large limousine with tinted windows .	limousine	The basic building block of RCS-2 is shown in the figure .	building	0
"They failed in their scuttling , so the felucca then sailed around "" St Helena "" , firing on her with a 9-pounder ."	felucca	Muelya , Winter , Zimmer and the driver of the vehicle were seriously injured while the two occupants of the other vehicle died in the crash .	vehicle	1
Microcentrum latifrons Microcentrum latifrons , the southwestern angle-wing katydid , is a species of phaneropterine katydid in the family Tettigoniidae .	katydid	As the insect grows , the hemolymph works something like a hydraulic system , enabling the insect to expand segments before they are sclerotized .	insect	1
"European conger The European conger ( "" Conger conger "" ) is a species of conger of the family Congridae ."	conger	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	1
The kookaburra is the largest species of the kingfisher family , known for its call , which sounds uncannily like loud , echoing human laughter .	kookaburra	Insect farming Insect farming is the practice of raising , eating , and breeding insects as livestock .	insect	0
Apleurus angularis Apleurus angularis is a species of cylindrical weevil in the family of beetles known as Curculionidae .	weevil	In 2008 , the bird was officially chosen as one of the mascots of Liancourt Rocks .	bird	0
In January 2016 the barge Big Max transported a 20-mile underwater cable for Deepwater Wind 's 30MW Block Island offshore wind farm off Rhode Island .	barge	Many of the residents have implemented fire mitigation plans , although building larger homes makes more fuel for fires .	building	0
He passed a year in Simlak , preparing his own meals and occasionally leading salaah at the masjid .	masjid	The office building is of yellow and red brick , with sandstone trim .	building	1
In aquaria the wrymouth has been known to utilize a rubber tube as a ready-made burrow .	wrymouth	The standard for fish for human consumption is less than 1 mg/kg , but many tested samples were more than five times that amount .	fish	1
Rearing cobia larvae at salinities as low as 15 ppt is possible .	cobia	These also target the insect 's nervous system .	insect	0
Thus , the iron condor is an options strategy considered when the trader has a neutral outlook for the market .	condor	"Muscadine is one of the grape species most resistant to "" Phylloxera "" , an insect that can kill roots of grapevines ."	insect	0
The Cauca guan ’s call is , like other guans , a loud , raucous honking .	guan	List of birds of Latvia This is a list of the bird species recorded in Latvia .	bird	1
Omobranchus fasciolatus Omobranchus fasciolatus , the Arab blenny or barred Arab blenny , is a species of combtooth blenny found in the western Indian ocean .	blenny	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	0
"Standing in your small skiff , unable to see more than 15 or 20 feet , you would wait for the "" America "" ."	skiff	NDepend NDepend is a static analysis tool for .	tool	0
The Brazilian merganser usually lays three to six eggs in June and July , with the chicks hatching during the following July and August .	merganser	Order : PasseriformesFamily : Prunellidae The accentors are the only bird family which is completely endemic to the Palearctic .	bird	1
By 1920 there was an ambulance shed at the northeast corner of the railway yards .	ambulance	Several derivatives of the vehicle and applications of its technology were also examined , including a prospective scaled-up version capable of carrying 200-250 passengers .	vehicle	1
"In 1991 , during the Gulf War , Tzan ' ani released her fifth album "" Pgisha "" ( A Date ) ."	ani	The book covers details of migratory and resident birds based around the lake , and documents 130 bird species with photographs .	bird	1
It is Alex 's birthday and Ruth makes him a cake and a picnic , while Peter buys him a book about setting up an apiary .	apiary	GSA contributes to the management of U.S. Federal property , including a 215,000 vehicle motor pool .	vehicle	0
Endangered species at Cape Krusenstern include the possibly extinct Eskimo curlew , and threatened spectacled eider and Steller 's eider .	eider	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
, whimbrel , common redshank , common greenshank , common tern and whiskered tern .	greenshank	Otters of the Northern Pacific consume mostly sea urchins and fish , thereby exhibiting less tool use behavior .	fish	0
Stewart believed that from the number of shot the lugger had taken that she had lost many of her crew .	lugger	The witnesses said that the explosion began at the front of the bus and sent fire down through the vehicle .	vehicle	1
Birds found in birch woodland include the chaffinch , tree pipit , willow warbler , nightingale , robin , woodcock , redpoll and green woodpecker .	chaffinch	List of birds of Uruguay This is a list of the bird species recorded in Uruguay .	bird	1
The opah retains heat with insulating layers of fat , which insulates the heart from the gills , and the pectoral muscles from the surrounding water .	opah	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
"The latter is based in a moored former lightship , the "" Petrel "" , acquired in 1968 ."	lightship	These issues coincided with the problems Khabouth was experiencing with Stilife due to the Oceans restaurant that he opened as an adjoining piece in the same building .	building	0
Wildfowl visitors to the loch include water rail , goldeneye , little grebe , teal , mallard , moorhen , greylag goose , mute swan and many more .	greylag	The capture , transportation and culture of bait fish can spread damaging organisms between ecosystems , endangering them .	fish	0
However , in some cases , disturbances in their environment can have very negative effects on the snook population .	snook	We must solve problems of waste disposal , insect and rodent control , air pollution , housing , radiological poisoning and many others .	insect	0
A carriage met the group at Cambridge railway station and took them to the guildhall , where they were met by the mayor and town clerk .	guildhall	This provided for ample space where the basic Education building was constructed and where the academic square is being developed .	building	1
Both species have turned up widely in the diet of golden eagles , much more so the raven than the peregrine .	raven	List of birds of Argentina This is a list of the bird species recorded in Argentina .	bird	1
It was built in 1828 as the most western posthouse on the Finnish side of the old mail route connecting Swedish capital Stockholm and Finnish town Turku .	posthouse	A hierarchy of these building blocks was used to implement a hierarchy of behaviors such as observed by Tinbergen and others .	building	1
"The "" mail "" in the name probably means ' maul , mallet ' , from Latin "" malleus "" ."	maul	, the electric vehicle network consisted of 11,414 individual Supercharger stalls at 1,375 locations worldwide .	vehicle	0
They were not welcomed by the government nor the people and settled in a caravansary .	caravansary	Like most models , the OODA Loop is not a technical description , but rather is a tool for illustrating important points for strategists .	tool	0
The endangered kupu-kupu barong moth is found at the cocoon house in this park .	barong	The STAAD.Pro Advanced Slab Design workflow is an integrated tool that works from within the STAAD.Pro environment .	tool	1
A ruling was passed in 1944 requesting pupils of the grammar school to bring lunch and eat in the lunchroom .	lunchroom	Honda was the largest hybrid vehicle seller in Malaysia in 2011 and by 2012 Malaysia was Honda 's largest hybrid vehicle market in Southeast Asia .	vehicle	0
The charterhouse is located in the valley of the , a tributary of the Haslochbach .	charterhouse	Much of his recent comics work concentrates on comics as research tool in pedagogy .	tool	0
Hemigrammus bleheri Hemigrammus bleheri is a species of characin found in Amazon Basin in Brazil and Peru .	characin	List of birds of Austria This is a list of the bird species recorded in Austria .	bird	0
Another common dish is saury .	saury	This fish was formerly classified in the family Ranicipitidae , called the tadpole cods , as its sole member .	fish	1
A leanto section ( apparently integral to the main body construction ) extends to the rear , giving the house a saltbox profile .	saltbox	The party served as a vehicle for Philip to run for re-election as Governor of Wisconsin and for Robert to run for re-election to the United States Senate .	vehicle	0
The length of pupation can be determined by color changes in the pupa from light to dark .	pupa	Insect farming Insect farming is the practice of raising , eating , and breeding insects as livestock .	insect	1
